base_device_id;d093c8a2-1fd6-4f10-a536-dc91bb28bf5e;www.zoopla.co.uk;/;Fri Mar 22 19:10:27 GMT 2024;false
base_request;https://www.zoopla.co.uk/;www.zoopla.co.uk;/;Thu Mar 23 19:40:27 GMT 2023;false
optFea;1;.zoopla.co.uk;/;Thu Mar 23 19:40:28 GMT 2023;false
random_traffic_allocation;17;.zoopla.co.uk;/;Sat Apr 22 20:10:28 BST 2023;false
active_session;anon;.zoopla.co.uk;/;null;true
__cf_bm;odXPB3CQfPb6zHhYpXbK2LUQWoIg5.F4Tp0gmpd.27A-1679598627-0-Ae/d858QI4gHbQwki5jco253fMsKqMQcQ75uxV7uA/WAZN03kGZI8xBAKMb/mge67N+fZsEOIhZ54q2fCzuS11zvMBY2l45nIxJ5CH44cOXb8WY98RierpoGh6q+VRjSghlU5DzFFfOehSaXpxfHaudsTy+mzwbxTQx4tNk4LakH+QfrbJjqGRuJYhfiXc32DQ==;.zoopla.co.uk;/;Thu Mar 23 19:40:28 GMT 2023;true
base_session_start_page;https://www.zoopla.co.uk/;www.zoopla.co.uk;/;Thu Mar 23 19:40:27 GMT 2023;false
zooplasid;cf28a1eff82d49868f3fec4aac52ae64;.zoopla.co.uk;/;null;true
forced_experiments;{};www.zoopla.co.uk;/;null;false
base_session_count;1;www.zoopla.co.uk;/;Fri Mar 22 19:10:27 GMT 2024;false
base_session_id;b97bb1f5-1935-4c18-8b47-bd4c463f666f;www.zoopla.co.uk;/;Thu Mar 23 19:40:27 GMT 2023;false
zid;cf28a1eff82d49868f3fec4aac52ae64;.zoopla.co.uk;/;null;true
zooplapsid;861d833820284ba4875bf003fb1d0793;.zoopla.co.uk;/;Sat Mar 23 19:10:26 GMT 2024;true
ajs_anonymous_id;9dc6c66630784df6bd5a51354e2e2253;.zoopla.co.uk;/;Fri Mar 22 19:10:29 GMT 2024;false
forced_features;{};www.zoopla.co.uk;/;null;false
